 WARN [2018-07-02 15:32:53,189] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-07-02 15:32:53,208] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-07-02 15:32:53,209] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-07-02 17:00:57,356] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-07-02 17:00:57,388] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-07-02 17:00:57,403] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-07-03 17:03:22,632] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-07-03 17:03:22,679] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-07-03 17:03:22,679] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-07-04 16:46:14,702] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-07-04 16:46:14,806] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-07-04 16:46:14,807] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-07-05 16:36:40,380] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-07-05 16:36:40,965] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-07-05 16:36:40,965] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-07-06 17:23:41,164] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-07-06 17:23:41,414] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-07-06 17:23:41,430] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-07-09 12:21:14,214] (ProjectService.java:isInManagedProject:1183) - Unable to determine if resource 'JPA-Test' is force managed: Resource '/JPA-Test' does not exist. Cause:
 (1) Resource '/JPA-Test' does not exist.
 WARN [2018-07-09 18:20:52,143] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-07-09 18:20:52,147] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-07-09 18:20:52,149] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-07-10 17:52:56,700] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-07-10 17:52:56,981] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-07-10 17:52:56,981] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-07-11 17:55:11,855] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-07-11 17:55:11,924] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-07-11 17:55:11,924] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-07-19 17:22:00,153] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-07-19 17:22:00,169] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-07-19 17:22:00,184] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-07-31 14:50:11,562] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-07-31 14:50:11,625] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-07-31 14:50:11,625] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-07-31 15:41:02,936] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-07-31 15:41:02,951] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-07-31 15:41:02,951] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-08-17 18:28:25,392] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-08-17 18:28:25,457] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-08-17 18:28:25,459] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-08-20 18:07:56,681] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-08-20 18:07:57,445] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-08-20 18:07:57,445] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-09-07 14:46:47,733] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-09-07 14:46:47,748] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-09-07 14:46:47,749] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-10-22 22:37:05,682] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-10-22 22:37:05,698] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-10-22 22:37:05,698] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-10-23 11:14:25,830] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-10-23 11:14:25,930] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-10-23 11:14:25,930] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-10-23 12:41:26,205] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-10-23 12:41:26,227] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-10-23 12:41:26,228] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-10-25 12:12:15,574] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-10-25 12:12:15,586] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-10-25 12:12:15,587] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-10-25 16:59:43,677] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-10-25 16:59:43,700] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-10-25 16:59:43,702] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-10-26 10:13:55,233] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2018-10-26 10:13:55,303] (DescribeObjectRegistry.java:clearCache:660) - No cached describes
 WARN [2018-10-26 10:13:55,305] (MetadataFactory.java:clearCache:125) - No cached metadata stubs
 WARN [2018-11-09 17:17:20,518] (ConnectionFactory.java:clearCache:217) - No cached connections
